POPULATION_PER_MILLION,Total_population_SUMMARY_INDICATORS_Median_age_(years),Total_population_SUMMARY_INDICATORS_Sex_ratio_(males_per_100_females),Estimate_Percent_Total_population_15_to_44_years,Estimate_Percent_Total_population_60_years_and_over,MEDIAN_INCOME_PER_100k,RATIO_OF_NON-FAMILY_TO_FAMILY_HOUSEHOLDS,RATIO_OF_WOKERS_TO_PEOPLE_(OVER_16),Workers_16_years_and_over_Public_transportation_(excluding_taxicab),Workers_16_years_and_over_Walked,Workers_16_years_and_over_Bicycle,"Workers_16_years_and_over_Taxicab,_motorcycle,_or_other_means",Workers_16_years_and_over_Worked_in_county_of_residence,Workers_16_years_and_over_Mean_travel_time_to_work_(minutes)
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
3.979537,3.59,0.979,0.46,0.183,0.67418,0.686563673,0.619673567,0.088,0.034,0.008,2,0.968,3.3
